accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain
MN095539.1	2306	Thailand tick thogotovirus isolate THOV/Boophilus sp./Thailand segment PB2, complete sequence	2654565	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Thogotovirus	Thogotovirus thailandense	Thailand tick thogotovirus	Thailand tick thogotovirus
MN095540.1	2193	Thailand tick thogotovirus isolate THOV/Boophilus sp./Thailand segment PB1, complete sequence	2654565	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Thogotovirus	Thogotovirus thailandense	Thailand tick thogotovirus	Thailand tick thogotovirus
MN095541.1	1941	Thailand tick thogotovirus isolate THOV/Boophilus sp./Thailand segment PA, complete sequence	2654565	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Thogotovirus	Thogotovirus thailandense	Thailand tick thogotovirus	Thailand tick thogotovirus
MN095542.1	1596	Thailand tick thogotovirus isolate THOV/Boophilus sp./Thailand segment GP, complete sequence	2654565	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Thogotovirus	Thogotovirus thailandense	Thailand tick thogotovirus	Thailand tick thogotovirus
MN095543.1	1480	Thailand tick thogotovirus isolate THOV/Boophilus sp./Thailand segment NP, complete sequence	2654565	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Thogotovirus	Thogotovirus thailandense	Thailand tick thogotovirus	Thailand tick thogotovirus
MN095544.1	872	Thailand tick thogotovirus isolate THOV/Boophilus sp./Thailand segment M, complete sequence	2654565	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Thogotovirus	Thogotovirus thailandense	Thailand tick thogotovirus	Thailand tick thogotovirus
MN099168.1	11562	Atypical porcine pestivirus isolate 170575-1 polyprotein gene, complete cds	1914447	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Pestivirus	Pestivirus K	Atypical porcine pestivirus	Atypical porcine pestivirus
MN116648.1	8731	Rosavirus B strain rat08/rRoB/HUN, complete genome	1902501	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Rosavirus	Rosavirus B	unclassified Rosavirus B subspecies/strain	unclassified Rosavirus B strain
MN148891.1	6038	Andean potato mottle virus isolate Huancayo segment RNA1, complete sequence	12259	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Andean potato mottle virus	unclassified Andean potato mottle virus subspecies/strain	unclassified Andean potato mottle virus strain
MN148892.1	3767	Andean potato mottle virus isolate Huancayo segment RNA2, complete sequence	12259	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Andean potato mottle virus	unclassified Andean potato mottle virus subspecies/strain	unclassified Andean potato mottle virus strain
MN153802.1	35595	Southern Psittacara leucophthalmus aviadenovirus isolate BR_DF2, partial genome	2604330	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Aviadenovirus leucophthalmi	Southern Psittacara leucophthalmus aviadenovirus	Southern Psittacara leucophthalmus aviadenovirus
MN163121.1	6344	Penshurt virus strain ANHV-Costa Rica segment L RNA-dependent RNA polymerase gene, complete cds	2721854	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Penshurt phlebovirus	Penshurt virus	Penshurt virus
MN163122.1	4193	Penshurt virus strain ANHV-Costa Rica segment M glycoprotein gene, complete cds	2721854	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Penshurt phlebovirus	Penshurt virus	Penshurt virus
MN163123.1	1670	Penshurt virus strain ANHV-Costa Rica segment S nonstructural protein and nucleocapsid protein genes, complete cds	2721854	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Penshurt phlebovirus	Penshurt virus	Penshurt virus
MN168168.1	6916	Niukluk phantom virus isolate C7 segment L, complete sequence	2602116	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Niukluk phantom orthophasmavirus	Niukluk phantom virus	Niukluk phantom virus
MN168169.1	2762	Niukluk phantom virus isolate C7 segment M, complete sequence	2602116	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Niukluk phantom orthophasmavirus	Niukluk phantom virus	Niukluk phantom virus
MN168170.1	2438	Niukluk phantom virus isolate C7 segment S, complete sequence	2602116	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Niukluk phantom orthophasmavirus	Niukluk phantom virus	Niukluk phantom virus
MN175553.1	14458	Gull metapneumovirus strain GuMPV_B29, complete genome	2605443	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Pneumoviridae	Metapneumovirus	Gull metapneumovirus	unclassified Gull metapneumovirus subspecies/strain	unclassified Gull metapneumovirus strain
MN175613.1	4116	Psittacara leucophthalmus chapparvovirus isolate BR_DF11, complete genome	2604335	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Chaphamaparvovirus	Psittacine chaphamaparvovirus 1	Psittacara leucophthalmus chapparvovirus	Psittacara leucophthalmus chapparvovirus
MN180070.1	12149	Actinidia yellowing virus 1 isolate AYV1-Zhouzhi, complete sequence	2715795	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Waikavirus	Waikavirus AcYV1	Actinidia yellowing virus 1	Actinidia yellowing virus 1
MN181513.1	7310	Enterovirus B strain 2010_ES_NGR_I011, complete genome	138949	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B	unclassified Enterovirus B subspecies/strain	unclassified Enterovirus B strain
MN205539.1	137429	UNVERIFIED: Human gammaherpesvirus 8 strain BCBL-1, complete genome	37296	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Rhadinovirus	Human gammaherpesvirus 8	unclassified Human gammaherpesvirus 8 subspecies/strain	unclassified Human gammaherpesvirus 8 strain
MN207265.1	11604	Comber alphavirus isolate 12ITT-210.14, complete genome	2597680	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Togaviridae	Alphavirus	Comber alphavirus	unclassified Comber alphavirus subspecies/strain	unclassified Comber alphavirus strain
MN227772.1	7550	Norovirus GIX strain Barry0457 isolate Hu/US/2017/GII.P15-GIX.1/Barry0457, complete genome	2594528	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus GIX	Norovirus GIX
MN240300.1	210797	Alaskapox virus isolate Alaska_2015, complete genome	2602439	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Alaskapox virus	unclassified Alaskapox virus subspecies/strain	unclassified Alaskapox virus strain
MN244297.1	221153	Akhmeta virus strain A39, complete genome	2200830	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Akhmeta virus	unclassified Akhmeta virus subspecies/strain	unclassified Akhmeta virus strain
MN265364.1	4427	Capuchin kidney parvovirus isolate Cc_AM_T3, complete genome	2695302	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Chaphamaparvovirus	Primate chaphamaparvovirus 1	Capuchin kidney parvovirus	Capuchin kidney parvovirus
MN306034.1	7163	Rhinovirus B14 strain SC0641, complete genome	12131	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus B	rhinovirus B14	rhinovirus B14
MN306049.1	7051	Rhinovirus A53 strain SC0894, complete genome	185913	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A53	rhinovirus A53
MN369037.1	7144	Rhinovirus A41 strain SC9861, complete genome	185909	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Rhinovirus A	rhinovirus A41	rhinovirus A41
MN396757.1	4225	Feline chaphamaparvovirus isolate IDEXX-1, complete genome	2736647	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Chaphamaparvovirus	Feline chaphamaparvovirus	unclassified Feline chaphamaparvovirus subspecies/strain	unclassified Feline chaphamaparvovirus strain
MN417229.1	5338	Mastomys natalensis polyomavirus 3 isolate 9947, complete genome	2662314	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Alphapolyomavirus	Alphapolyomavirus tertimastomysis	Mastomys natalensis polyomavirus 3	Mastomys natalensis polyomavirus 3
MN547623.1	9621	Ruhugu virus isolate Cyclops leaf-nosed bat/2017/Uganda, complete genome	2652755	Viruses	Kitrinoviricota	Alsuviricetes	Hepelivirales	Matonaviridae	Rubivirus	Rubivirus ruteetense	Ruhugu virus	Ruhugu virus
MN552442.2	9631	Rustrela virus isolate Donkey/19_041-1/2019/Germany, complete genome	2652756	Viruses	Kitrinoviricota	Alsuviricetes	Hepelivirales	Matonaviridae	Rubivirus	Rubivirus strelense	Rustrela virus	Rustrela virus
MN607594.1	10940	Yinshui bat virus isolate 1017, complete genome	2716754	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Vesiculovirus	Vesiculovirus yinshui	Yinshui bat virus	Yinshui bat virus
MN611517.1	27619	Rousettus aegyptiacus bat coronavirus 229E-related isolate 5425, complete genome	2691585	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Rousettus aegyptiacus bat coronavirus 229E-related	unclassified Rousettus aegyptiacus bat coronavirus 229E-related subspecies/strain	unclassified Rousettus aegyptiacus bat coronavirus 229E-related strain
MN611520.1	30511	Pipistrellus abramus bat coronavirus HKU5-related isolate BY140568, complete genome	2691590	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Pipistrellus abramus bat coronavirus HKU5-related	unclassified Pipistrellus abramus bat coronavirus HKU5-related subspecies/strain	unclassified Pipistrellus abramus bat coronavirus HKU5-related strain
MN611522.1	26956	Rhinolophus affinis bat coronavirus HKU2-related isolate 160660, complete genome	2691595	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Rhinolophus affinis bat coronavirus HKU2-related	unclassified Rhinolophus affinis bat coronavirus HKU2-related subspecies/strain	unclassified Rhinolophus affinis bat coronavirus HKU2-related strain
MN611523.1	28514	Hipposideros pomona bat coronavirus HKU10-related isolate 160942, complete genome	2691597	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Hipposideros pomona bat coronavirus HKU10-related	unclassified Hipposideros pomona bat coronavirus HKU10-related subspecies/strain	unclassified Hipposideros pomona bat coronavirus HKU10-related strain
MN611525.1	28169	Hipposideros pomona bat coronavirus CHB25 isolate CHB0025, complete genome	2691598	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Alphacoronavirus CHB25	Hipposideros pomona bat coronavirus CHB25	Hipposideros pomona bat coronavirus CHB25
MN661021.1	6428	Coredo virus strain CV/Mati1754-5 segment L cRNA sequence, sequence	2689366	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Orthophasmavirus coredoense	Coredo virus	Coredo virus
MN661022.1	2001	Coredo virus strain CV/Mati1754-5 segment S cRNA sequence, sequence	2689366	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Orthophasmavirus coredoense	Coredo virus	Coredo virus
MN661023.1	2538	Coredo virus strain CV/Mati1754-5 segment M cRNA sequence, sequence	2689366	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Orthophasmavirus coredoense	Coredo virus	Coredo virus
MN687905.1	27192	Psittacine siadenovirus C isolate BrdKdnyDNA, complete genome	2610839	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Siadenovirus	Psittacine siadenovirus C	unclassified Psittacine siadenovirus C subspecies/strain	unclassified Psittacine siadenovirus C strain
MN701059.1	11833	Blackcurrant waikavirus A isolate Oregon, complete genome	1569061	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Waikavirus	Waikavirus BCWVA	Blackcurrant waikavirus A	Blackcurrant waikavirus A
MN792652.1	4077	Tamdy orthonairovirus isolate TT1 glycoprotein precursor, gene, complete cds	2170063	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Tamdy orthonairovirus	unclassified Tamdy orthonairovirus subspecies/strain	unclassified Tamdy orthonairovirus strain
MN792653.1	1452	Tamdy orthonairovirus isolate TT1 nucleocapsid protein gene, complete cds	2170063	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Tamdy orthonairovirus	unclassified Tamdy orthonairovirus subspecies/strain	unclassified Tamdy orthonairovirus strain
MN794870.1	4315	Feline dependoparvovirus isolate VRI 849 non-structural replication protein (NS1) and capsid protein (VP1) genes, complete cds	2733691	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Carnivore dependoparvovirus 1	Feline dependoparvovirus	Feline dependoparvovirus
MN809923.1	6128	Pineapple secovirus A isolate HANA187 segment RNA1, complete sequence	2726258	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Sadwavirus	Sadwavirus PSVA	Pineapple secovirus A	Pineapple secovirus A
MN809924.1	4161	Pineapple secovirus A isolate HANA187 segment RNA2, complete sequence	2726258	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Sadwavirus	Sadwavirus PSVA	Pineapple secovirus A	Pineapple secovirus A
MN837498.1	5969	Phaseolus vulgaris severe mosaic virus isolate CG6 segment RNA1, complete sequence	2728245	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Comovirus PvSMV	Phaseolus vulgaris severe mosaic virus	Phaseolus vulgaris severe mosaic virus
MN837499.1	3762	Phaseolus vulgaris severe mosaic virus isolate CG6 segment RNA2, complete sequence	2728245	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Comovirus PvSMV	Phaseolus vulgaris severe mosaic virus	Phaseolus vulgaris severe mosaic virus
MN972594.1	12024	Meram virus isolate M1 RNA-dependent RNA polymerase gene, complete cds	2737675	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Meram orthonairovirus	Meram virus	Meram virus
MN972595.1	4374	Meram virus isolate M1 glycoprotein precursor, gene, complete cds	2737675	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Meram orthonairovirus	Meram virus	Meram virus
MN972596.1	1458	Meram virus isolate M1 nucleoprotein gene, complete cds	2737675	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Nairoviridae	Orthonairovirus	Meram orthonairovirus	Meram virus	Meram virus
MN994868.1	5386	Lepus polyomavirus 1 isolate Lag01_EL_poly, complete genome	2716316	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus leporis	Lepus polyomavirus 1	Lepus polyomavirus 1
MT050041.1	35275	Bearded dragon adenovirus 1 strain BD5H2, complete genome	2729647	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Lizard atadenovirus B	Bearded dragon adenovirus 1	Bearded dragon adenovirus 1
MT153459.1	1708	Coleopteran phasma-related virus OKIAV235 segment M cRNA sequence	2746309	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Coleopteran orthophasmavirus	Coleopteran phasma-related virus OKIAV235	Coleopteran phasma-related virus OKIAV235
MT153483.1	1646	Coleopteran phasma-related virus OKIAV235 segment S cRNA sequence	2746309	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Coleopteran orthophasmavirus	Coleopteran phasma-related virus OKIAV235	Coleopteran phasma-related virus OKIAV235
MT153542.1	6583	Coleopteran phasma-related virus OKIAV235 segment L cRNA sequence	2746309	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Coleopteran orthophasmavirus	Coleopteran phasma-related virus OKIAV235	Coleopteran phasma-related virus OKIAV235
MT218011.1	7780	Human papillomavirus 35 isolate PAP606354, complete genome	10587	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 9	human papillomavirus 35	human papillomavirus 35
MT270825.1	6380	Embossos virus strain SP288-KE-2016 segment L, complete sequence	2767008	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Embossos phlebovirus	Embossos virus	Embossos virus
MT270826.1	4251	Embossos virus strain SP288-KE-2016 segment M, complete sequence	2767008	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Embossos phlebovirus	Embossos virus	Embossos virus
MT270827.1	1874	Embossos virus strain SP288-KE-2016 segment S, complete sequence	2767008	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Embossos phlebovirus	Embossos virus	Embossos virus
MT270828.1	6366	Bogoria virus strain SP105-KE-2016 segment L, complete sequence	2767007	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Bogoria phlebovirus	Bogoria virus	Bogoria virus
MT270829.1	4233	Bogoria virus strain SP105-KE-2016 segment M, complete sequence	2767007	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Bogoria phlebovirus	Bogoria virus	Bogoria virus
MT270830.1	1715	Bogoria virus strain SP105-KE-2016 segment S, complete sequence	2767007	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Bogoria phlebovirus	Bogoria virus	Bogoria virus
MT270831.1	6369	Kiborgoch virus strain SSP39-KE-2016 segment L, complete sequence	2767009	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Kiborgoch phlebovirus	Kiborgoch virus	Kiborgoch virus
MT270832.1	4238	Kiborgoch virus strain SSP39-KE-2016 segment M, complete sequence	2767009	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Kiborgoch phlebovirus	Kiborgoch virus	Kiborgoch virus
MT270833.1	1835	Kiborgoch virus strain SSP39-KE-2016 segment S, complete sequence	2767009	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Kiborgoch phlebovirus	Kiborgoch virus	Kiborgoch virus
MT270834.1	6472	Perkerra virus strain SP166-KE-2016 segment L, complete sequence	2767010	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Perkerra phlebovirus	Perkerra virus	Perkerra virus
MT270835.1	4194	Perkerra virus strain SP166-KE-2016 segment M, complete sequence	2767010	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Perkerra phlebovirus	Perkerra virus	Perkerra virus
MT270836.1	1722	Perkerra virus strain SP166-KE-2016 segment S, complete sequence	2767010	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phlebovirus	Perkerra phlebovirus	Perkerra virus	Perkerra virus
MT303062.1	5949	Grapevine Tunisian ringspot virus isolate TN14 segment RNA2, complete sequence	2052649	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Grapevine Tunisian ringspot virus	unclassified Grapevine Tunisian ringspot virus subspecies/strain	unclassified Grapevine Tunisian ringspot virus strain
MT348706.1	10183	Lettuce star mosaic virus isolate JG1-B, complete genome	2749300	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Sequivirus	Sequivirus LSMV	Lettuce star mosaic virus	Lettuce star mosaic virus
MT498816.1	6660	Parry's Creek phasivirus 1 isolate PCPV1/pool-10 segment L RNA-dependent RNA polymerase gene, complete cds	2755152	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Kimberley phasivirus	Parry's Creek phasivirus 1	Parry's Creek phasivirus 1
MT498817.1	810	Parry's Creek phasivirus 1 isolate PCPV1/pool-10 segment S nucleoprotein gene, complete cds	2755152	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Kimberley phasivirus	Parry's Creek phasivirus 1	Parry's Creek phasivirus 1
MT498818.1	3720	Parry's Creek phasivirus 1 isolate PCPV1/pool-10 segment M glycoprotein gene, complete cds	2755152	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Kimberley phasivirus	Parry's Creek phasivirus 1	Parry's Creek phasivirus 1
MT505439.1	34777	Human adenovirus 11 strain HAdV-B2/USA_GA/8348/2019/P11H11F12, complete genome	10541	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus 11	Human adenovirus 11
MT507290.1	7186	Grapevine nepovirus A isolate 125 segment RNA1, complete sequence	2789373	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Nepovirus GNVA	Grapevine nepovirus A	Grapevine nepovirus A
MT507291.1	4460	Grapevine nepovirus A isolate 125 segment RNA2, complete sequence	2789373	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Nepovirus GNVA	Grapevine nepovirus A	Grapevine nepovirus A
MT521733.1	7126	Potato virus B isolate phureja polyprotein gene, complete cds	2340870	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Potato virus B	unclassified Potato virus B subspecies/strain	unclassified Potato virus B strain
MT536978.1	6317	Grapevine enamovirus 1 isolate SD-CG, complete genome	2560515	Viruses	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	Enamovirus	Grapevine enamovirus 1	unclassified Grapevine enamovirus 1 subspecies/strain	unclassified Grapevine enamovirus 1 strain
MT591564.1	7748	Blueberry leaf mottle virus isolate BLMoV-OH19 segment RNA1, complete sequence	38172	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Blueberry leaf mottle virus	unclassified Blueberry leaf mottle virus subspecies/strain	unclassified Blueberry leaf mottle virus strain
MT591565.1	5436	Blueberry leaf mottle virus isolate BLMoV-OH19 segment RNA2, complete sequence	38172	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Blueberry leaf mottle virus	unclassified Blueberry leaf mottle virus subspecies/strain	unclassified Blueberry leaf mottle virus strain
MT663548.1	29097	Bat alphacoronavirus isolate AMA_L_F, complete genome	2419667	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Bat alphacoronavirus	unclassified Bat alphacoronavirus subspecies/strain	unclassified Bat alphacoronavirus strain
MT783412.1	7812	Human papillomavirus 51 strain kyd-s0251, complete genome	10595	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 5	human papillomavirus 51	human papillomavirus 51
MT783416.1	7825	Human papillomavirus 56 strain kyd-s0256, complete genome	10596	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 6	human papillomavirus 56	human papillomavirus 56
MT783417.1	7898	Human papillomavirus 59 strain kyd-s0359, complete genome	37115	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 7	human papillomavirus 59	human papillomavirus 59
MT862163.1	131245	Bovine alphaherpesvirus 2 strain C1Z FZR	10295	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Simplexvirus	Bovine alphaherpesvirus 2	unclassified Bovine alphaherpesvirus 2 subspecies/strain	unclassified Bovine alphaherpesvirus 2 strain
MT900475.1	141859	Macropodid alphaherpesvirus 2 strain V3077/08	83440	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Simplexvirus	Macropodid alphaherpesvirus 2	unclassified Macropodid alphaherpesvirus 2 subspecies/strain	unclassified Macropodid alphaherpesvirus 2 strain
MW281483.1	9047	Acheta domesticus Iflavirus isolate SE:1050, complete genome	2812802	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Acheta domesticus Iflavirus	unclassified Acheta domesticus Iflavirus subspecies/strain	unclassified Acheta domesticus Iflavirus strain
MW289235.1	7298	Poaceae Liege nepovirus A isolate Antheit polyprotein gene, complete cds	2822470	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Nepovirus PoLNVA	Poaceae Liege nepovirus A	Poaceae Liege nepovirus A
MW289236.1	4263	Poaceae Liege nepovirus A isolate Antheit polyprotein gene, complete cds	2822470	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Nepovirus	Nepovirus PoLNVA	Poaceae Liege nepovirus A	Poaceae Liege nepovirus A
MW289237.1	11623	Poaceae Liege virus 1 isolate Antheit polyprotein gene, complete cds	2822469	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Waikavirus	Waikavirus PoLV1	Poaceae Liege virus 1	Poaceae Liege virus 1
MW434632.1	2089	MAG: Barstukas virus isolate CMS002_045e_WVAL glycoprotein gene, complete cds	2800906	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Orthophasmavirus barstukasense	Barstukas virus	Barstukas virus
MW434647.1	2037	MAG: Barstukas virus isolate CMS002_045e_WVAL sequence	2800906	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Orthophasmavirus barstukasense	Barstukas virus	Barstukas virus
MW434660.1	6614	MAG: Barstukas virus isolate CMS002_045e_WVAL RNA-dependent RNA polymerase gene, complete cds	2800906	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Orthophasmavirus barstukasense	Barstukas virus	Barstukas virus
MW434675.1	2177	MAG: Miglotas virus isolate CMS002_047i_WVAL glycoprotein gene, complete cds	2800927	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Orthophasmavirus miglotasense	Miglotas virus	Miglotas virus
MW434690.1	2096	MAG: Miglotas virus isolate CMS002_047i_WVAL hypothetical protein and nucleoprotein genes, complete cds	2800927	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Orthophasmavirus miglotasense	Miglotas virus	Miglotas virus
MW434703.1	6393	MAG: Miglotas virus isolate CMS002_047i_WVAL RNA-dependent RNA polymerase gene, complete cds	2800927	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	Orthophasmavirus	Orthophasmavirus miglotasense	Miglotas virus	Miglotas virus
MW508338.2	26075	Siadenovirus sp. strain S478/20, complete genome	2671519	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Siadenovirus	Siadenovirus sp.	unclassified Siadenovirus sp. subspecies/strain	unclassified Siadenovirus sp. strain
